ANT1,44.00,88.37,0.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,42.41,83.21,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,2.04,90.71,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,33.15,85.21,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,34.85,84.14,180.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,34.80,86.69,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,32.93,86.79,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,27.87,86.14,180.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C15,30.78,87.86,0.00,1.0uF,NORDIC_NRF_3_RESC0402_L
C16,32.71,88.21,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,15.73,84.21,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,17.73,83.69,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,17.45,75.86,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,42.42,82.08,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,1.92,88.53,0.00,4.7uF/25V,NORDIC_NRF_3_RESC0201_L
C20,23.05,75.93,180.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C21,25.84,76.54,180.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C22,41.51,80.21,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,16.76,90.11,270.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,13.79,85.66,90.00,10uF,NORDIC_NRF_3_RESC0402_L
C25,22.31,88.21,0.00,22uF,NORDIC_NRF_3_RESC0402_L
C27,19.76,98.18,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,33.14,72.18,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,35.17,80.31,180.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,15.60,71.18,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,23.06,67.18,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,28.64,74.21,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C33,25.96,88.21,0.00,22uF,NORDIC_NRF_3_RESC0402_L
C34,34.22,76.18,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,26.52,98.18,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,25.98,72.18,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,20.74,97.24,0.00,10uF,NORDIC_NRF_3_RESC0402_N
C4,39.75,80.21,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,37.82,94.68,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,29.73,89.61,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C5,21.55,82.69,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,23.14,77.48,180.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C7,27.20,75.69,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,32.45,79.41,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,32.50,80.86,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,11.04,93.37,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,40.74,97.37,0.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,9.88,97.37,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,6.06,89.30,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,12.71,84.35,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C10,12.71,75.65,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C11,12.76,74.44,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C12,12.72,73.08,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C2,12.80,83.08,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C5,12.74,81.68,180.00,0.1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C6,12.73,80.42,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C7,12.78,79.22,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C8,12.70,77.92,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C9,12.66,76.81,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
IC1,23.91,97.41,0.00,BQ25180YBGR_BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,31.17,75.24,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,19.13,73.21,0.00,BMA421,BMA423_BMA423
IC9,16.71,88.00,90.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,8.92,77.51,270.00,503480-2400,503480-2400_5034802400
J2,41.17,75.08,0.00,TC2030-IDC_TC2030-IDC,TC2030-IDC_TC2030IDC
J4,32.40,95.97,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,37.24,80.80,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,28.14,87.38,180.00,10uH,NORDIC_NRF_2_RESC0402_L
L3,27.79,88.49,180.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,4.12,95.07,0.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,25.12,94.32,0.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,10.15,87.13,0.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,16.27,92.37,0.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,18.44,87.31,0.00,3K3,CPF0201D7K68C1_0201
R18,18.42,85.18,0.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR,15.44,90.18,0.00,0.47,CPF0201D7K68C1_0201
R1_TYPE_SEL,12.90,88.18,0.00,2.2,CPF0201D7K68C1_0201
R1_USB,27.36,92.18,0.00,5K1,ERA-1AEB3401C_0201
R2,17.82,85.18,0.00,0,ERA-1AEB3401C_0201
R2_EP_DR,15.28,95.18,0.00,10K,CPF0201D7K68C1_0201
R2_USB,28.26,91.82,180.00,5K1,CPF0201D7K68C1_0201
R3,22.20,74.18,0.00,0,CPF0201D7K68C1_0201
R4,16.66,85.18,0.00,0,ERA-1AEB3401C_0201
R5,22.12,70.18,0.00,10K,ERA-1AEB3401C_0201
R7,33.13,70.96,0.00,10K,ERA-1AEB3401C_0201
R8,26.04,71.18,0.00,10K,ERA-1AEB3401C_0201
R9,26.50,97.18,0.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,11.88,88.18,0.00,10K,CPF0201D7K68C1_0201
SJ1,11.11,90.29,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,36.15,68.36,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,27.15,68.36,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,18.15,68.36,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,21.61,94.29,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,36.94,89.62,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,39.89,85.94,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,17.89,97.29,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,29.38,70.69,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,31.53,68.23,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,42.24,67.54,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,19.83,87.29,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,19.72,84.29,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,39.66,90.18,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,43.66,93.45,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,37.59,86.79,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,19.39,95.29,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,25.55,91.29,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,27.51,81.55,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,14.70,97.81,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,39.66,82.97,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,16.81,81.81,0.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
